Airport_IATA,Airport_Name,Country_Code,Country_Name,Latitude,Longitude
BVI,Birdsville,AU,Australia,-25.8919,139.3453
BVW,Batavia Downs,AU,Australia,-12.45,143.25
BVZ,Beverley Springs,AU,Australia,-16.7322,125.4392
BWB,Barrow Island,AU,Australia,-20.8,115.3833
BWQ,Brewarrina,AU,Australia,-29.9667,146.8167
BWT,Burnie Wynyard,AU,Australia,-40.9972,145.7267
BWU,Sydney Bankstown,AU,Australia,-33.9233,150.9903
BXF,Bellburn,AU,Australia,-17.5456,128.3078
BXG,Bendigo,AU,Australia,-36.7347,144.3186
BYP,Barimunya,AU,Australia,-22.6725,119.1658
BYX,Baniyala,AU,Australia,-13.2,136.2333
BZD,Balranald,AU,Australia,-34.6333,143.55
BZP,Bizant,AU,Australia,-15.2167,144.6333
CAZ,Cobar,AU,Australia,-31.5375,145.7944
CBC,Cherrabun,AU,Australia,-18.6667,125.3667
CBI,Cape Barren Island,AU,Australia,-40.3903,148.0153
CBR,Canberra,AU,Australia,-35.3069,149.195
CBX,Condobolin,AU,Australia,-33.0667,147.2
CBY,Canobie,AU,Australia,-19.6333,140.9167
CCL,Chinchilla,AU,Australia,-26.7722,150.6181
CCW,Cowell,AU,Australia,-33.6667,136.9
CDA,Cooinda,AU,Australia,-12.9,132.5167
CDQ,Croydon,AU,Australia,-18.3,142.25
CDU,Camden,AU,Australia,-34.05,150.7
CED,Ceduna,AU,Australia,-32.1306,133.7097
CJF,Coondewanna,AU,Australia,-22.965,118.8125
CKI,Croker Island,AU,Australia,-11.0833,132.5
CKW,Christmas Creek Mine,AU,Australia,-22.3542,119.6425
CLH,Coolah,AU,Australia,-31.8333,149.7
CMA,Cunnamulla,AU,Australia,-28.03,145.6222
CMD,Cootamundra,AU,Australia,-34.6333,148.05
CML,Camooweal,AU,Australia,-19.9167,138.1333
CMQ,Clermont,AU,Australia,-22.7667,147.6167
CNB,Coonamble,AU,Australia,-30.9833,148.3833
CNJ,Cloncurry,AU,Australia,-20.6686,140.5044
CNS,Cairns,AU,Australia,-16.8781,145.7489
COB,Coolibah,AU,Australia,-15.6667,130.9667
COJ,Coonabarabran,AU,Australia,-31.3333,149.2667
COY,Coolawanyah Station,AU,Australia,-21.8,117.7667
CPD,Coober Pedy,AU,Australia,-29.0403,134.72
CQP,Cape Flattery,AU,Australia,-18.2,147.5
CRB,Collarenebri,AU,Australia,-29.5258,148.5758
CRH,Cherrabah,AU,Australia,-27.65,151.95
CRJ,Coorabie,AU,Australia,-31.9,132.3
CRY,Carlton Hill,AU,Australia,-15.7,128.5
CSD,Cresswell Downs,AU,Australia,-17.9667,135.9167
CSI,Casino,AU,Australia,-28.8833,153.0667
CTL,Charleville,AU,Australia,-26.4133,146.2625
CTN,Cooktown,AU,Australia,-15.4436,145.1828
